Date,Close,High,Low,Open,Volume
2007-06-01,16.945207595825195,17.16189823849927,16.511826310477048,16.555165430942907,2299400.0
2007-06-04,16.329809188842773,16.511828559941296,16.199795116169735,16.208462941443756,5692700.0
2007-06-05,16.425148010253906,16.50315675788903,16.234459225715575,16.33847144030176,4510000.0
2007-06-06,16.40781593322754,16.40781593322754,16.165121815235334,16.208460936243814,2595300.0
2007-06-07,16.017772674560547,16.33847556844817,15.731741078701196,16.269134625610103,3062100.0
2007-06-08,16.321136474609375,16.321136474609375,15.775076871666087,15.775076871666087,2124100.0
2007-06-11,15.931096076965332,16.312472089046476,15.792414191339185,16.078445787095422,1870000.0
2007-06-12,15.948424339294434,16.217120161593517,15.619055426787597,15.731733786713756,8636200.0
2007-06-13,16.156457901000977,16.20846485879717,15.913765377494036,16.017775986648775,3110200.0
2007-06-14,16.381813049316406,16.477157465742913,15.974435216507798,16.03510833488158,8069700.0
2007-06-15,16.364477157592773,16.5898356319378,15.991770628364403,16.373144981977404,3418900.0
2007-06-18,16.069774627685547,16.381807946878705,16.03510334043188,16.165117361197193,1339900.0
2007-06-19,16.35581398010254,16.53783336584021,16.078448508682317,16.113119812566882,3113000.0
2007-06-20,16.780521392822266,16.893199782776783,16.312468880969288,16.468486384920283,4031500.0
2007-06-21,16.910537719726562,16.988546482272124,16.48582426432206,16.641841789413178,3985700.0
2007-06-22,17.118558883666992,17.205235461822873,16.789189870536507,16.901868264886396,11822000.0
2007-06-25,16.841201782226562,17.109897792330454,16.56383794557495,17.06656031281072,1974400.0
2007-06-26,16.893203735351562,17.0405534509793,16.702516548805658,16.901871560178904,2237000.0
2007-06-27,16.83252716064453,16.979876846035243,16.581165251888176,16.815191514547223,2216000.0
2007-06-28,17.04922103881836,17.239908222713666,17.00588356850259,17.1185619832547,2547200.0
2007-06-29,17.07522201538086,17.18790041365173,16.910536676475793,16.945206317013646,2022200.0
2007-07-02,16.97120475769043,17.12722222691863,16.92786730655717,16.96253693682022,1831600.0
2007-07-03,17.55194091796875,17.56060874149962,17.08388836661147,17.08388836661147,2960900.0
